,Sector,Min,Max
A,AGRICULTURE FORESTRY AND FISHING,1,3
B,MINING AND QUARRYING,5,9
C,MANUFACTURING,10,33
D,ELECTRICITY GAS STEAM AND AIR CONDITIONING SUPPLY,35,35
E,WATER SUPPLY SEWERAGE WASTE MANAGEMENT AND REMEDIATION ACTIVITIES,36,39
F,CONSTRUCTION,41,43
G,WHOLESALE AND RETAIL TRADE REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,45,47
H,TRANSPORTATION AND STORAGE,49,53
I,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,55,56
J,INFORMATION AND COMMUNICATION,58,63
K,FINANCIAL AND INSURANCE ACTIVITIES,64,66
L,REAL ESTATE ACTIVITIES,68,68
M,PROFESSIONAL SCIENTIFIC AND TECHNICAL ACTIVITIES,69,75
N,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,77,82
O,PUBLIC ADMINISTRATION AND DEFENCE COMPULSORY SOCIAL SECURITY,84,84
P,EDUCATION,85,85
Q,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,86,88
R,ARTS ENTERTAINMENT AND RECREATION,90,93
S,OTHER SERVICE ACTIVITIES,94,96
T,ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE,97,98
U,ACTIVITIES OF EXTRATERRITORIAL ORGANISATIONS AND BODIES,99,99
